RREB1,KPNB1,6.0333
GABPB2,ONECUT2,6.0333
BHLHB2,RREB1,6.0333
NFYC,MRE11A,6.0333
YY1,ZBTB17,6.0333
ARNTL,CBARA1,6.0333
CREB1,STAG3L2,6.0333
CREB3,BTAF1,6.0333
ZIC2,PHLDA1,6.0333
NFATC1,SLC7A8,6.0333
ADNP,SATB2,6.0333
TFDP1,NCBP1,6.0333
JUN,LOC729047,6.0333
GTF2I,SCD,6.0333
GTF2I,FRYL,6.0333
NFATC1,MAP2K7,6.0333
SRF,MAPKAPK2,6.0333
NFATC1,C1orf149,6.0333
GABPA,POLR3C,6.0333
ELF2,GALNT7,6.0333
NFYC,WHSC1,6.0333
ELK4,ANAPC11,6.0333
POU2F2,PCBP1,6.0333
ELK4,PRKDC,6.0333
GABPB2,SLC39A9,6.0333
NFYC,ZNF91,6.0333
TFAP4,BTBD14B,6.0333
YY1,ST3GAL3,6.0333
ETS1,TNS1,6.0333
TFDP1,TMOD3,6.0333
REL,MED14,6.0333
OLIG2,NUP210,6.0333
ELK4,GAK,6.0333
CREB1,REV3L,6.0333
SREBF1,SLC11A2,6.0333
OLIG2,LTB4R2,6.0333
ELF2,TSHZ1,6.0333
ARNTL,ILF3,6.0333
HMGA2,CXCR4,6.0333
ELF2,PABPC1,6.0333
RREB1,TMEM53,6.0333
ELK4,FOXJ3,6.0333
OLIG2,PER2,6.0333
RREB1,KIAA1468,6.0333
GABPB2,BTBD9,6.0333
ETS1,CSNK1D,6.0333
YY1,MED12,6.0333
TCF4,PIK3C3,6.0333
YY1,SLAIN2,6.0333
MEF2C,YWHAH,6.0333
ZIC2,SASH3,6.0333
MYB,CGGBP1,6.0333
NFYC,KIAA0319L,6.0333
CREB1,SON,6.0333
YY1,PHC3,6.0333
NFYC,TRIM59,6.0333
GABPB2,NCBP1,6.0333
ELF1,LOC91461,6.0333
NFATC1,GOLPH3,6.0333
TFDP1,AHCYL2,6.0333
HMGA1,DNAL4,6.0333
YY1,EXOSC10,6.0333
ARNTL,MMP15,6.0333
ZEB1,UNC13D,6.0333
ELF2,PLP2,6.0333
GTF2I,MBNL1,6.0333
GABPA,BTBD14A,6.0333
ZHX2,ZNF521,6.0333
GTF2I,BAT2,6.0333
NFYC,UHRF1,6.0333
NFYC,POLA1,6.0333
TFDP1,PPP2R5A,6.0333
GABPA,ARL5B,6.0333
FOSB,RAPGEF1,6.0333
ELF2,PLEC1,6.0333
ELK4,ERH,6.0333
ELK4,MSH2,6.0333
REL,PRDM1,6.0333
JUND,DDX28,6.0333
OLIG2,HNRNPUL1,6.0333
TFDP1,BRAF,6.0333
